AML Investigation Report
=========================

Account: C835773569 | Amount: 710544.77 | Risk: High
Account: C2108487454 | Amount: 534253.28 | Risk: High
Account: C1702264172 | Amount: 716963.72 | Risk: High
Account: C1286849685 | Amount: 1336524.08 | Risk: High
Account: C212836215 | Amount: 521972.59 | Risk: High
Account: C172294369 | Amount: 595164.22 | Risk: High
Account: C1480222490 | Amount: 930494.86 | Risk: High
Account: C1011887288 | Amount: 644547.98 | Risk: High
Account: C1245695333 | Amount: 908409.17 | Risk: High
Account: C510620 | Amount: 518863.21 | Risk: High
Account: C709573964 | Amount: 618412.96 | Risk: High
Account: C247400839 | Amount: 756137.61 | Risk: High
Account: C2012867778 | Amount: 606015.28 | Risk: High
Account: C1376588103 | Amount: 1261683.26 | Risk: High
Account: C275194542 | Amount: 602807.7 | Risk: High
Account: C1716237566 | Amount: 523046.87 | Risk: High
Account: C133857826 | Amount: 917077.16 | Risk: High
Account: C670089360 | Amount: 519683.79 | Risk: High
Account: C2071360441 | Amount: 627914.43 | Risk: High
Account: C1118448721 | Amount: 534160.69 | Risk: High
Account: C196315367 | Amount: 868521.8 | Risk: High
Account: C1278386559 | Amount: 717580.39 | Risk: High
Account: C213801919 | Amount: 523979.1 | Risk: High
Account: C212458550 | Amount: 1120518.61 | Risk: High
Account: C1433433940 | Amount: 1303144.16 | Risk: High
Account: C269195570 | Amount: 790593.15 | Risk: High
Account: C1273166135 | Amount: 1461830.58 | Risk: High
Account: C2088622238 | Amount: 1042738.4 | Risk: High
Account: C2027509721 | Amount: 528768.41 | Risk: High
Account: C979934928 | Amount: 544032.2 | Risk: High
Account: C99483815 | Amount: 963976.45 | Risk: High
Account: C1204876831 | Amount: 1042849.25 | Risk: High
Account: C1012240507 | Amount: 745288.75 | Risk: High
Account: C706464557 | Amount: 707353.9 | Risk: High
Account: C270268150 | Amount: 730943.73 | Risk: High
Account: C2109197063 | Amount: 947536.31 | Risk: High
Account: C102946146 | Amount: 2350757.65 | Risk: High
Account: C1513747186 | Amount: 894806.03 | Risk: High
Account: C1674410091 | Amount: 1652348.14 | Risk: High
Account: C568763776 | Amount: 639196.75 | Risk: High
Account: C899997038 | Amount: 677626.03 | Risk: High
Account: C2081659110 | Amount: 558987.34 | Risk: High
Account: C173765377 | Amount: 767991.97 | Risk: High
Account: C1261747802 | Amount: 775574.55 | Risk: High
Account: C1810482728 | Amount: 1479054.47 | Risk: High
Account: C1233338003 | Amount: 766200.16 | Risk: High
Account: C58156835 | Amount: 1174703.59 | Risk: High
Account: C2145262239 | Amount: 1355046.54 | Risk: High
Account: C192628069 | Amount: 1070416.75 | Risk: High
Account: C474021223 | Amount: 609537.81 | Risk: High
Account: C953657514 | Amount: 2160182.38 | Risk: High
Account: C303358402 | Amount: 1782931.35 | Risk: High
Account: C216226366 | Amount: 775353.6 | Risk: High
Account: C1991548082 | Amount: 1094598.51 | Risk: High
Account: C1313642079 | Amount: 809651.02 | Risk: High
Account: C1478153795 | Amount: 879657.48 | Risk: High
Account: C1200745737 | Amount: 1105022.76 | Risk: High
Account: C75438789 | Amount: 597285.45 | Risk: High
Account: C2108722808 | Amount: 540799.36 | Risk: High
Account: C1925717042 | Amount: 573696.42 | Risk: High
Account: C779055747 | Amount: 578625.52 | Risk: High
Account: C503938954 | Amount: 557706.87 | Risk: High
Account: C286721853 | Amount: 1201637.5 | Risk: High
Account: C839948344 | Amount: 943451.53 | Risk: High
Account: C925070273 | Amount: 553917.91 | Risk: High
Account: C2063296720 | Amount: 721892.32 | Risk: High
Account: C688001520 | Amount: 1011217.01 | Risk: High
Account: C414996926 | Amount: 547360.71 | Risk: High
Account: C87911635 | Amount: 526117.95 | Risk: High
Account: C506229055 | Amount: 693549.45 | Risk: High
Account: C201526532 | Amount: 526849.18 | Risk: High
Account: C837729148 | Amount: 1104990.67 | Risk: High
Account: C835179086 | Amount: 1287071.72 | Risk: High
Account: C1937011843 | Amount: 613766.27 | Risk: High
Account: C368685592 | Amount: 665780.12 | Risk: High
Account: C1159603532 | Amount: 946711.67 | Risk: High
Account: C291338404 | Amount: 1028498.06 | Risk: High
Account: C2040232456 | Amount: 550465.05 | Risk: High
Account: C1938412809 | Amount: 801273.21 | Risk: High
Account: C1147740514 | Amount: 570676.35 | Risk: High
Account: C1573323570 | Amount: 715332.51 | Risk: High
Account: C954117254 | Amount: 913082.94 | Risk: High
Account: C47932832 | Amount: 1589850.94 | Risk: High
Account: C737636826 | Amount: 579234.38 | Risk: High
Account: C1640252433 | Amount: 702450.28 | Risk: High
Account: C516323911 | Amount: 787479.63 | Risk: High
Account: C1095346997 | Amount: 877335.88 | Risk: High
Account: C1928194597 | Amount: 1722830.93 | Risk: High
Account: C1633525635 | Amount: 1963148.07 | Risk: High
Account: C683822340 | Amount: 759990.21 | Risk: High
Account: C1099714066 | Amount: 1481867.27 | Risk: High
Account: C512937917 | Amount: 1227332.99 | Risk: High
Account: C1505298422 | Amount: 1483555.12 | Risk: High
Account: C169637300 | Amount: 772561.26 | Risk: High
Account: C1666165344 | Amount: 1083279.5 | Risk: High
Account: C2133141353 | Amount: 1007096.85 | Risk: High
Account: C734793208 | Amount: 820756.81 | Risk: High
Account: C1197939193 | Amount: 774490.32 | Risk: High
Account: C585613630 | Amount: 701759.43 | Risk: High
Account: C1995054969 | Amount: 784398.5 | Risk: High
Account: C896074819 | Amount: 1784673.95 | Risk: High
Account: C125668742 | Amount: 1688517.6 | Risk: High
Account: C1469653598 | Amount: 1372352.17 | Risk: High
Account: C784827259 | Amount: 846962.43 | Risk: High
Account: C1959089715 | Amount: 763757.26 | Risk: High
Account: C800998684 | Amount: 1025015.48 | Risk: High
Account: C1988113597 | Amount: 818343.86 | Risk: High
Account: C1274407572 | Amount: 2501573.1 | Risk: High
Account: C1146106423 | Amount: 814810.01 | Risk: High
Account: C519235966 | Amount: 988272.4 | Risk: High
Account: C1079634206 | Amount: 816313.42 | Risk: High
Account: C998023735 | Amount: 1182678.59 | Risk: High
Account: C1587062469 | Amount: 1484004.46 | Risk: High
Account: C782191917 | Amount: 1940121.32 | Risk: High
Account: C732074792 | Amount: 1523652.31 | Risk: High
Account: C313836882 | Amount: 968277.27 | Risk: High
Account: C1519417658 | Amount: 565107.59 | Risk: High
Account: C1568244906 | Amount: 625562.22 | Risk: High
Account: C2110994408 | Amount: 594120.14 | Risk: High
Account: C958689035 | Amount: 3014744.61 | Risk: High
Account: C1406729820 | Amount: 2991113.27 | Risk: High
Account: C913432026 | Amount: 559814.8 | Risk: High
Account: C374097252 | Amount: 1156159.93 | Risk: High
Account: C16540051 | Amount: 731842.22 | Risk: High
Account: C892490567 | Amount: 824724.17 | Risk: High
Account: C1294787688 | Amount: 609418.42 | Risk: High
Account: C559314581 | Amount: 519937.92 | Risk: High
Account: C151293987 | Amount: 923766.97 | Risk: High
Account: C1427203364 | Amount: 776233.57 | Risk: High
Account: C1654131599 | Amount: 566416.17 | Risk: High
Account: C1604544369 | Amount: 696696.46 | Risk: High
Account: C1575831107 | Amount: 865818.96 | Risk: High
Account: C426015755 | Amount: 552953.26 | Risk: High
Account: C1634254293 | Amount: 1046609.54 | Risk: High
Account: C1032553396 | Amount: 955356.59 | Risk: High
Account: C232113289 | Amount: 669699.87 | Risk: High
Account: C1069703320 | Amount: 722955.64 | Risk: High
Account: C1980711244 | Amount: 789396.41 | Risk: High
Account: C487980828 | Amount: 560105.96 | Risk: High
Account: C1088227910 | Amount: 1232323.3 | Risk: High
Account: C2035921217 | Amount: 714453.21 | Risk: High
Account: C1301118951 | Amount: 2048759.74 | Risk: High
Account: C507820941 | Amount: 580110.21 | Risk: High
Account: C158015218 | Amount: 650154.09 | Risk: High
Account: C1204420970 | Amount: 637795.44 | Risk: High
Account: C2113531407 | Amount: 540445.43 | Risk: High
Account: C372045487 | Amount: 1241260.39 | Risk: High
Account: C627387478 | Amount: 527857.44 | Risk: High
Account: C654000665 | Amount: 537327.18 | Risk: High
Account: C1869707880 | Amount: 534385.07 | Risk: High
Account: C1135788707 | Amount: 583597.14 | Risk: High
Account: C603770915 | Amount: 547372.34 | Risk: High
Account: C1533898890 | Amount: 862698.69 | Risk: High
Account: C487176096 | Amount: 554628.77 | Risk: High
Account: C1656518880 | Amount: 626035.87 | Risk: High
Account: C1402132103 | Amount: 926653.1 | Risk: High
Account: C1432269767 | Amount: 848237.04 | Risk: High
Account: C1530447860 | Amount: 671319.73 | Risk: High
Account: C1081828524 | Amount: 641481.34 | Risk: High
Account: C672302897 | Amount: 792344.98 | Risk: High
Account: C548923318 | Amount: 1556129.43 | Risk: High
Account: C836124509 | Amount: 544843.83 | Risk: High
Account: C1328964741 | Amount: 603241.73 | Risk: High
Account: C904671559 | Amount: 1273237.63 | Risk: High
Account: C397528925 | Amount: 882385.14 | Risk: High
Account: C572420902 | Amount: 714894.58 | Risk: High
Account: C1937148889 | Amount: 1098677.29 | Risk: High
Account: C981997803 | Amount: 1077888.68 | Risk: High
Account: C46529158 | Amount: 756320.98 | Risk: High
Account: C361386142 | Amount: 912362.95 | Risk: High
Account: C2052150051 | Amount: 637264.49 | Risk: High
Account: C389626503 | Amount: 919487.76 | Risk: High
Account: C1856701439 | Amount: 1045521.76 | Risk: High
Account: C1991760030 | Amount: 669832.9 | Risk: High
Account: C1657770612 | Amount: 729655.24 | Risk: High
Account: C180571855 | Amount: 738328.38 | Risk: High
Account: C749920136 | Amount: 993745.06 | Risk: High
Account: C1396858463 | Amount: 771899.52 | Risk: High
Account: C1665792877 | Amount: 1295156.73 | Risk: High
Account: C556282163 | Amount: 1571488.9 | Risk: High
Account: C1899836785 | Amount: 1019445.29 | Risk: High
Account: C1718937849 | Amount: 649925.97 | Risk: High
Account: C2137389471 | Amount: 704493.96 | Risk: High
Account: C2135469229 | Amount: 1762276.12 | Risk: High
Account: C747405268 | Amount: 862270.59 | Risk: High
Account: C1282505302 | Amount: 1480098.96 | Risk: High
Account: C1264023677 | Amount: 882821.56 | Risk: High
Account: C104852430 | Amount: 1562316.39 | Risk: High
Account: C1292071977 | Amount: 562272.15 | Risk: High
Account: C1024901714 | Amount: 631072.38 | Risk: High
Account: C2014148309 | Amount: 590570.82 | Risk: High
Account: C648668885 | Amount: 1663193.75 | Risk: High
Account: C1880561124 | Amount: 519578.44 | Risk: High
Account: C2021382198 | Amount: 946388.49 | Risk: High
Account: C1805220123 | Amount: 654303.6 | Risk: High
Account: C96971653 | Amount: 1731360.53 | Risk: High
Account: C911892430 | Amount: 1236143.35 | Risk: High
Account: C834022988 | Amount: 1896265.64 | Risk: High
Account: C911275089 | Amount: 1467898.82 | Risk: High
Account: C246698625 | Amount: 521897.74 | Risk: High
Account: C437938340 | Amount: 799775.16 | Risk: High
Account: C1432028516 | Amount: 594747.06 | Risk: High
Account: C1512441098 | Amount: 525509.35 | Risk: High
Account: C785228432 | Amount: 576677.9 | Risk: High
Account: C1613837471 | Amount: 534708.23 | Risk: High
Account: C1329192483 | Amount: 830306.37 | Risk: High
Account: C1404495450 | Amount: 585027.58 | Risk: High
Account: C1393760300 | Amount: 792319.75 | Risk: High
Account: C1540441399 | Amount: 668147.75 | Risk: High
Account: C1792932777 | Amount: 1084897.13 | Risk: High
Account: C572902755 | Amount: 1050653.59 | Risk: High
Account: C853645762 | Amount: 536349.08 | Risk: High
Account: C1807396118 | Amount: 654091.61 | Risk: High
Account: C1131014000 | Amount: 1768989.02 | Risk: High
Account: C361885715 | Amount: 570178.73 | Risk: High
Account: C756945355 | Amount: 610814.72 | Risk: High
Account: C1270394048 | Amount: 1136036.33 | Risk: High
Account: C315400468 | Amount: 731576.41 | Risk: High
Account: C1932432029 | Amount: 753237.18 | Risk: High
Account: C628355592 | Amount: 562063.08 | Risk: High
Account: C157875264 | Amount: 528882.84 | Risk: High
Account: C831429917 | Amount: 852111.08 | Risk: High
Account: C2054218084 | Amount: 819648.16 | Risk: High
Account: C728373196 | Amount: 851884.77 | Risk: High
Account: C1507855514 | Amount: 805207.18 | Risk: High
Account: C1288555774 | Amount: 616874.08 | Risk: High
Account: C559687727 | Amount: 520198.57 | Risk: High
Account: C260171667 | Amount: 596365.29 | Risk: High
Account: C194830111 | Amount: 566330.51 | Risk: High
Account: C1273920597 | Amount: 640455.8 | Risk: High
Account: C2014805073 | Amount: 683698.1 | Risk: High
Account: C1147871054 | Amount: 553511.4 | Risk: High
Account: C2011821883 | Amount: 1428161.66 | Risk: High
Account: C1652638866 | Amount: 593286.19 | Risk: High
Account: C465208083 | Amount: 838103.6 | Risk: High
Account: C1732424225 | Amount: 1283217.97 | Risk: High
Account: C977496798 | Amount: 546886.96 | Risk: High
Account: C710392289 | Amount: 2464924.23 | Risk: High
Account: C1490326937 | Amount: 566867.54 | Risk: High
Account: C917225948 | Amount: 714677.59 | Risk: High
Account: C399772547 | Amount: 557002.18 | Risk: High
Account: C858333819 | Amount: 2866923.24 | Risk: High
Account: C1261551348 | Amount: 622716.6 | Risk: High
Account: C1543756561 | Amount: 560552.0 | Risk: High
Account: C445118210 | Amount: 3720022.26 | Risk: High
Account: C327495558 | Amount: 2594857.32 | Risk: High
Account: C1408721405 | Amount: 1399728.32 | Risk: High
Account: C1706882975 | Amount: 1907515.73 | Risk: High
Account: C1494691984 | Amount: 1130196.88 | Risk: High
Account: C1435453039 | Amount: 794193.8 | Risk: High
Account: C835388838 | Amount: 550749.72 | Risk: High
Account: C1537544692 | Amount: 548414.42 | Risk: High
Account: C1316496460 | Amount: 626906.91 | Risk: High
Account: C1258665794 | Amount: 1042680.21 | Risk: High
Account: C122620137 | Amount: 1340300.65 | Risk: High
Account: C1854028112 | Amount: 539655.09 | Risk: High
Account: C966754077 | Amount: 1466785.45 | Risk: High
Account: C1727377935 | Amount: 540236.98 | Risk: High
Account: C1642603560 | Amount: 1098355.43 | Risk: High
Account: C1212164269 | Amount: 569010.52 | Risk: High
Account: C1221138730 | Amount: 2146357.55 | Risk: High
Account: C1072555503 | Amount: 1638515.34 | Risk: High
Account: C465731564 | Amount: 527793.49 | Risk: High
Account: C1185132425 | Amount: 1235252.26 | Risk: High
Account: C378114881 | Amount: 602774.09 | Risk: High
Account: C1631813811 | Amount: 986925.85 | Risk: High
Account: C690485439 | Amount: 611529.09 | Risk: High
Account: C774124126 | Amount: 971194.09 | Risk: High
Account: C2202535 | Amount: 1919369.36 | Risk: High
Account: C1151358076 | Amount: 904627.27 | Risk: High
Account: C514592203 | Amount: 568194.66 | Risk: High
Account: C1162752767 | Amount: 669802.68 | Risk: High
Account: C1120671786 | Amount: 543439.8 | Risk: High
Account: C1429488738 | Amount: 527691.96 | Risk: High
Account: C402582579 | Amount: 672939.33 | Risk: High
Account: C1754978413 | Amount: 667594.02 | Risk: High
Account: C289747701 | Amount: 1952111.41 | Risk: High
Account: C707329051 | Amount: 532080.47 | Risk: High
Account: C788247672 | Amount: 665858.31 | Risk: High
Account: C8737889 | Amount: 793703.89 | Risk: High
Account: C186169614 | Amount: 651021.41 | Risk: High
Account: C1718461766 | Amount: 575853.51 | Risk: High
Account: C1854008477 | Amount: 653001.21 | Risk: High
Account: C372341277 | Amount: 1003975.6 | Risk: High
Account: C171427512 | Amount: 612403.78 | Risk: High
Account: C821753822 | Amount: 772932.21 | Risk: High
Account: C980237970 | Amount: 953334.28 | Risk: High
Account: C294574251 | Amount: 561679.25 | Risk: High
Account: C1317020957 | Amount: 693711.78 | Risk: High
Account: C1643423511 | Amount: 920041.19 | Risk: High
Account: C1232937726 | Amount: 946088.82 | Risk: High
Account: C622635481 | Amount: 584870.41 | Risk: High
Account: C146357610 | Amount: 600338.76 | Risk: High
Account: C627884350 | Amount: 647780.06 | Risk: High
Account: C1582125668 | Amount: 521047.74 | Risk: High
Account: C1966586174 | Amount: 992095.12 | Risk: High
Account: C665059965 | Amount: 525136.47 | Risk: High
Account: C1775459867 | Amount: 729280.72 | Risk: High
Account: C1729394025 | Amount: 793412.09 | Risk: High
Account: C67665558 | Amount: 1080990.52 | Risk: High
Account: C1708402552 | Amount: 1644441.78 | Risk: High
Account: C1565210695 | Amount: 947348.64 | Risk: High
Account: C1060893749 | Amount: 532912.59 | Risk: High
Account: C1560992291 | Amount: 553347.39 | Risk: High
Account: C1740286378 | Amount: 901300.39 | Risk: High
Account: C445829543 | Amount: 669369.7 | Risk: High
Account: C592527151 | Amount: 885436.51 | Risk: High
Account: C703487838 | Amount: 599849.27 | Risk: High
Account: C520643316 | Amount: 600107.9 | Risk: High
Account: C1910840764 | Amount: 739649.07 | Risk: High
Account: C1581161167 | Amount: 544786.04 | Risk: High
Account: C198344877 | Amount: 1153444.01 | Risk: High
Account: C1726777058 | Amount: 689396.61 | Risk: High
Account: C1540616028 | Amount: 612615.49 | Risk: High
Account: C807114243 | Amount: 564180.65 | Risk: High
Account: C1050713766 | Amount: 2574445.12 | Risk: High
Account: C599519016 | Amount: 612833.2 | Risk: High
Account: C974828816 | Amount: 736853.64 | Risk: High
Account: C1680697412 | Amount: 1007457.26 | Risk: High
Account: C607151564 | Amount: 648487.23 | Risk: High
Account: C765653079 | Amount: 942479.42 | Risk: High
Account: C2125564585 | Amount: 533546.51 | Risk: High
Account: C1423781189 | Amount: 524773.43 | Risk: High
Account: C313108416 | Amount: 644011.21 | Risk: High
Account: C875303109 | Amount: 526800.08 | Risk: High
Account: C1580939161 | Amount: 622143.85 | Risk: High
Account: C1498185758 | Amount: 566156.42 | Risk: High
Account: C2013962070 | Amount: 643180.06 | Risk: High
Account: C1012681897 | Amount: 535097.43 | Risk: High
Account: C1882269124 | Amount: 549114.17 | Risk: High
Account: C1203051306 | Amount: 544369.94 | Risk: High
Account: C1401501033 | Amount: 567262.51 | Risk: High
Account: C1052895143 | Amount: 703110.44 | Risk: High
Account: C993304462 | Amount: 750517.2 | Risk: High
Account: C1028455520 | Amount: 708867.97 | Risk: High
Account: C1959234152 | Amount: 1221085.48 | Risk: High
Account: C35005848 | Amount: 2143309.62 | Risk: High
Account: C441369411 | Amount: 857636.07 | Risk: High
Account: C555328293 | Amount: 650145.36 | Risk: High
Account: C1613461249 | Amount: 1233559.18 | Risk: High
Account: C479558429 | Amount: 665996.51 | Risk: High
Account: C40253038 | Amount: 1948386.85 | Risk: High
Account: C146096440 | Amount: 710653.16 | Risk: High
Account: C514772704 | Amount: 899464.86 | Risk: High
Account: C1823354445 | Amount: 518808.16 | Risk: High
Account: C789084175 | Amount: 1088503.8 | Risk: High
Account: C337073949 | Amount: 1031474.55 | Risk: High
Account: C2039296578 | Amount: 634914.74 | Risk: High
Account: C481205642 | Amount: 1710800.73 | Risk: High
Account: C624806122 | Amount: 930699.79 | Risk: High
Account: C544778920 | Amount: 798922.92 | Risk: High
Account: C1275840855 | Amount: 3062047.18 | Risk: High
Account: C1942179264 | Amount: 1685161.66 | Risk: High
Account: C151117396 | Amount: 849440.37 | Risk: High
Account: C1344930553 | Amount: 532498.63 | Risk: High
Account: C1291974436 | Amount: 1940572.3 | Risk: High
Account: C1878858989 | Amount: 915555.05 | Risk: High
Account: C1090862625 | Amount: 568413.89 | Risk: High
Account: C466794357 | Amount: 2188121.03 | Risk: High
Account: C1427859495 | Amount: 628958.12 | Risk: High
Account: C87780167 | Amount: 557902.21 | Risk: High
Account: C806945189 | Amount: 775564.23 | Risk: High
Account: C1782826285 | Amount: 579344.32 | Risk: High
Account: C27360769 | Amount: 2564779.59 | Risk: High
Account: C541989520 | Amount: 1821201.25 | Risk: High
Account: C847002464 | Amount: 734254.86 | Risk: High
Account: C953158296 | Amount: 519156.96 | Risk: High
Account: C2101543394 | Amount: 715603.69 | Risk: High
Account: C1152179913 | Amount: 549837.67 | Risk: High
Account: C1442417325 | Amount: 791495.34 | Risk: High
Account: C1044884182 | Amount: 796351.8 | Risk: High
Account: C1959217095 | Amount: 955240.95 | Risk: High
Account: C1836651658 | Amount: 1540992.73 | Risk: High
Account: C1067823081 | Amount: 1421790.35 | Risk: High
Account: C786410688 | Amount: 605761.2 | Risk: High
Account: C1303350057 | Amount: 771356.47 | Risk: High
Account: C38922950 | Amount: 897767.79 | Risk: High
Account: C559974438 | Amount: 857813.5 | Risk: High
Account: C549420066 | Amount: 608308.66 | Risk: High
Account: C1580433697 | Amount: 1449330.74 | Risk: High
Account: C2069717353 | Amount: 521238.84 | Risk: High
Account: C1176328073 | Amount: 781230.4 | Risk: High
Account: C61156357 | Amount: 710876.23 | Risk: High
Account: C1760438154 | Amount: 543625.24 | Risk: High
Account: C1463563463 | Amount: 729556.65 | Risk: High
Account: C822433032 | Amount: 714871.98 | Risk: High
Account: C1460026888 | Amount: 532083.7 | Risk: High
Account: C701183597 | Amount: 927523.2 | Risk: High
Account: C1913312301 | Amount: 1221591.32 | Risk: High
Account: C41625288 | Amount: 1670722.61 | Risk: High
Account: C1361963254 | Amount: 896928.42 | Risk: High
Account: C1696960476 | Amount: 595404.94 | Risk: High
Account: C1067618745 | Amount: 873784.62 | Risk: High
Account: C176649287 | Amount: 2086804.57 | Risk: High
Account: C2046823616 | Amount: 654693.16 | Risk: High
Account: C510512793 | Amount: 856470.06 | Risk: High
Account: C1314700099 | Amount: 2382684.71 | Risk: High
Account: C1741127261 | Amount: 1173132.36 | Risk: High
Account: C502370612 | Amount: 743550.56 | Risk: High
Account: C131299889 | Amount: 697336.49 | Risk: High
Account: C32750880 | Amount: 609009.98 | Risk: High
Account: C2021845836 | Amount: 532832.32 | Risk: High
Account: C524686882 | Amount: 3847145.44 | Risk: High
Account: C206149888 | Amount: 2426345.56 | Risk: High
Account: C1876780244 | Amount: 638623.77 | Risk: High
Account: C1040679252 | Amount: 648452.32 | Risk: High
Account: C325231342 | Amount: 546268.36 | Risk: High
Account: C876181265 | Amount: 1290193.08 | Risk: High
Account: C786304962 | Amount: 1262927.45 | Risk: High
Account: C1527160232 | Amount: 955788.71 | Risk: High
Account: C1726185852 | Amount: 1721425.44 | Risk: High
Account: C1003898117 | Amount: 607555.17 | Risk: High
Account: C1827831859 | Amount: 3413003.09 | Risk: High
Account: C1021950674 | Amount: 1081815.77 | Risk: High
Account: C828798303 | Amount: 2114305.6 | Risk: High
Account: C981868944 | Amount: 2594134.43 | Risk: High
Account: C1501854241 | Amount: 619992.95 | Risk: High
Account: C1707178298 | Amount: 548277.23 | Risk: High
Account: C797497619 | Amount: 663163.58 | Risk: High
Account: C886572750 | Amount: 997937.94 | Risk: High
Account: C1608752893 | Amount: 524929.61 | Risk: High
Account: C688384856 | Amount: 1086653.19 | Risk: High
Account: C1763993815 | Amount: 631203.2 | Risk: High
Account: C325826458 | Amount: 704023.62 | Risk: High
Account: C1124728833 | Amount: 964389.19 | Risk: High
Account: C2043257944 | Amount: 1144495.36 | Risk: High
Account: C864541645 | Amount: 1801071.89 | Risk: High
Account: C198592212 | Amount: 764287.68 | Risk: High
Account: C806335750 | Amount: 903229.19 | Risk: High
Account: C408060345 | Amount: 694025.56 | Risk: High
Account: C1449325492 | Amount: 783776.09 | Risk: High
Account: C1168515409 | Amount: 736273.99 | Risk: High
Account: C788453602 | Amount: 1422407.48 | Risk: High
Account: C1522419532 | Amount: 580237.79 | Risk: High
Account: C931667881 | Amount: 714906.75 | Risk: High
Account: C732342038 | Amount: 807801.44 | Risk: High
Account: C421323592 | Amount: 572216.73 | Risk: High
Account: C1963422110 | Amount: 612696.97 | Risk: High
Account: C704323260 | Amount: 596258.57 | Risk: High
Account: C1015805832 | Amount: 679838.36 | Risk: High
Account: C586573796 | Amount: 599440.41 | Risk: High
Account: C440800749 | Amount: 628199.92 | Risk: High
Account: C1311139067 | Amount: 585245.33 | Risk: High
Account: C220401108 | Amount: 789331.47 | Risk: High
Account: C627681222 | Amount: 529852.63 | Risk: High
Account: C1114021485 | Amount: 1326270.62 | Risk: High
Account: C1095702097 | Amount: 1569437.88 | Risk: High
Account: C937820767 | Amount: 1360008.81 | Risk: High
Account: C1074179519 | Amount: 598549.37 | Risk: High
Account: C1627918307 | Amount: 676882.33 | Risk: High
Account: C1816321130 | Amount: 635970.68 | Risk: High
Account: C312918440 | Amount: 587635.95 | Risk: High
Account: C1326807568 | Amount: 861365.86 | Risk: High
Account: C1773376758 | Amount: 1132536.75 | Risk: High
Account: C1058373660 | Amount: 1012302.1 | Risk: High
Account: C1359362040 | Amount: 578120.47 | Risk: High
Account: C919222399 | Amount: 1059341.2 | Risk: High
Account: C613232603 | Amount: 2275516.18 | Risk: High
Account: C1344706448 | Amount: 747449.48 | Risk: High
Account: C256397271 | Amount: 46211920.92 | Risk: High
Account: C1599909259 | Amount: 536207.67 | Risk: High
Account: C530703385 | Amount: 2088354.36 | Risk: High
Account: C1566443123 | Amount: 1248844.13 | Risk: High
Account: C511168540 | Amount: 673411.0 | Risk: High
Account: C64677170 | Amount: 1983280.03 | Risk: High
Account: C124953027 | Amount: 645001.53 | Risk: High
Account: C481437630 | Amount: 540965.1 | Risk: High
Account: C1163651971 | Amount: 3259184.52 | Risk: High
Account: C1755239501 | Amount: 834979.04 | Risk: High
Account: C1721375341 | Amount: 700482.71 | Risk: High
Account: C1011756176 | Amount: 632245.47 | Risk: High
Account: C483009518 | Amount: 3105902.49 | Risk: High
